name,caption,type,is_dynamic
dem,Lead-time demand distribution,String,
mu,Demand mean,Decimal,
seg,Demand standard deviation,Decimal,
r,Reoder point,Decimal,
q,Ordering/Production quantity,Decimal,
ss,Safety stock,Decimal,
eshort,Expected number of shortages/cycle,Decimal,
fract,Probability of stockout (%),Decimal,
serv,Fill rate (%),Decimal,
orc,Ordering/setup cost/unit of time,Decimal,
hlc,Holding cost/unit of time,Decimal,
boc,Shortage cost/unit of time,Decimal,
tac,Total expected cost/unit of time,Decimal,
rfr,Reorder point  (free),Decimal,
qfr,Ordering/Production quantity (free),Decimal,
tacfr,Total expected cost (free),Decimal,
