name,caption,type,is_dynamic
dem,Demand distribution,String,
mu,Demand mean,Decimal,
seg,Demand standard deviation,Decimal,
r0,Target level,Decimal,
r,Adjusted target level,Decimal,
rp,Reorder point,String,
q,Ordering/Production quantity,Decimal,
eshort,Expected number of units short,Decimal,
eend,Expected ending inventory,Decimal,
esold,Expected number of units sold,Decimal,
oepc,Optimal expected profit/cost,Decimal,
serv,Service level (%),Decimal,
rfr0,Target level  (free),Decimal,
rfr,Adjusted target level  (free),Decimal,
rpf,Reorder point (free),Decimal,
epcf,Expected profit/cost (free),Decimal,
